date,amount,category,merchant,type
2026-05-31 00:09:37.885811,-240.89,Shopping,Local Mall,Expense
2026-06-02 00:09:37.885811,-294.76,Health,Pharmacy,Expense
2026-06-04 00:09:37.885811,-106.46,Shopping,Local Mall,Expense
2026-06-05 00:09:37.885811,-144.41,Health,Local Clinic,Expense
2026-06-06 00:09:37.885811,-386.62,Transport,Uber,Expense
2026-06-08 00:09:37.885811,-382.7,Transport,Uber,Expense
2026-06-09 00:09:37.885811,-32.11,Food,OXXO,Expense
2026-06-10 00:09:37.885811,-368.27,Entertainment,Local Bar,Expense
2026-06-14 00:09:37.885811,-337.86,Entertainment,Steam,Expense
2026-06-18 00:09:37.885811,-141.43,Food,Rappi,Expense
2026-06-19 00:09:37.885811,-131.14,Shopping,Mercado Libre,Expense
2026-06-23 00:09:37.885811,-352.19,Shopping,Mercado Libre,Expense
2026-06-25 00:09:37.885811,-240.27,Transport,Local Bus,Expense
2026-06-28 00:09:37.885811,-82.19,Health,Hospital,Expense
2026-06-29 00:09:37.885811,-1323.64,Utilities,Water Dept,Expense
2026-06-30 00:09:37.885811,-752.15,Utilities,Water Dept,Expense
2026-07-02 00:09:37.885811,-184.35,Entertainment,Steam,Expense
2026-07-03 00:09:37.885811,-227.44,Shopping,Local Mall,Expense
2026-07-04 00:09:37.885811,-118.74,Health,Local Clinic,Expense
2026-07-06 00:09:37.885811,-149.46,Transport,99App,Expense
2026-07-11 00:09:37.885811,-385.28,Transport,Local Bus,Expense
2026-07-12 00:09:37.885811,-150.88,Entertainment,Local Bar,Expense
2026-07-13 00:09:37.885811,-69.14,Health,Local Clinic,Expense
2026-07-15 00:09:37.885811,-82.22,Food,Carrefour,Expense
2026-07-16 00:09:37.885811,-1040.3,Utilities,Spotify,Expense
2026-07-17 00:09:37.885811,-712.1,Utilities,Netflix,Expense
2026-07-20 00:09:37.885811,-208.65,Entertainment,Local Bar,Expense
2026-07-21 00:09:37.885811,-526.26,Utilities,Netflix,Expense
2026-07-22 00:09:37.885811,-314.65,Transport,Gas Station,Expense
2026-07-23 00:09:37.885811,-535.47,Utilities,Spotify,Expense
2026-07-26 00:09:37.885811,-966.4,Utilities,Local Electric Co,Expense
2026-07-28 00:09:37.885811,-242.49,Transport,Gas Station,Expense
2026-07-29 00:09:37.885811,-1048.95,Utilities,Netflix,Expense
2026-07-30 00:09:37.885811,-1339.99,Utilities,Netflix,Expense
2026-08-03 00:09:37.885811,-362.2,Entertainment,Local Bar,Expense
2026-08-07 00:09:37.885811,-316.36,Entertainment,Cinema,Expense
2026-08-08 00:09:37.885811,-251.93,Health,Pharmacy,Expense
2026-08-10 00:09:37.885811,-1481.05,Utilities,Local Electric Co,Expense
2026-08-13 00:09:37.885811,-138.0,Shopping,Local Mall,Expense
2026-08-14 00:09:37.885811,-216.68,Transport,Gas Station,Expense
2026-08-15 00:09:37.885811,-46.99,Food,Local Supermarket,Expense
2026-08-16 00:09:37.885811,-209.22,Transport,Uber,Expense
2026-08-17 00:09:37.885811,-180.24,Entertainment,Local Bar,Expense
2026-08-19 00:09:37.885811,-144.46,Food,Rappi,Expense
2026-08-21 00:09:37.885811,-679.72,Utilities,Spotify,Expense
2026-08-24 00:09:37.885811,-336.74,Health,Local Clinic,Expense
2026-08-25 00:09:37.885811,-249.12,Transport,Gas Station,Expense
2026-08-26 00:09:37.885811,-98.92,Health,Local Clinic,Expense
2026-08-27 00:09:37.885811,-357.83,Transport,Local Bus,Expense
